casos,media_original,dp_original,media_normalizado,dp_normalizado,Nv,Nd,FP,prct_FP,FN,prct_FN,media_IRR_s,dp_IRR_s,bpm
111.mat,0.0962707175925911,0.272096858420772,-2.37160077486383e-05,0.225962677732177,139,139,1,0.719424460431655,1,0.719424460431655,0.87043795620438,0.0362956215472969,52.2262773722628
112.mat,-0.589833912037037,0.0861591116276533,2.74840062110177e-05,0.133861138498656,173,173,0,0,0,0,0.697563352826511,0.0234180118592598,41.8538011695906
113.mat,0.0734011574074069,0.19589893666735,-1.1913727252929e-06,0.104465571008314,117,116,0,0,1,0.854700854700855,1.0343567251462,0.0782759568297205,62.0614035087719
114.mat,0.0533912037037024,0.306090231563349,1.13055136798052e-06,0.130931992693583,111,113,3,2.7027027027027,1,0.900900900900901,1.06874374374374,0.159223295613257,64.1246246246246
115.mat,-0.203321412037035,0.106623572108454,1.43460147743947e-05,0.269134110808612,127,127,1,0.78740157480315,1,0.78740157480315,0.9472,0.100390327429974,56.832
116.mat,-0.729076041666664,0.216138301326248,8.1793692591825e-06,0.166392923577827,157,158,1,0.636942675159236,0,0,0.76502849002849,0.0523757293465116,45.9017094017094
117.mat,-0.453568171296292,0.290059558211372,-7.06883646584849e-06,0.128095875516699,101,101,1,0.99009900990099,1,0.99009900990099,1.2044051627385,0.0325251857492003,72.2643097643098
118.mat,-0.523417939814807,0.350662628811257,-4.68948893693481e-05,0.172418320878353,148,147,1,0.675675675675676,2,1.35135135135135,0.820038314176245,0.0486961185814878,49.2022988505747
119.mat,-0.488031944444447,0.29643192756628,-2.52670034705772e-07,0.179793952116305,139,131,1,0.719424460431655,9,6.47482014388489,0.917549526270456,0.26406495051828,55.0529715762274
media,-0.30713181584362,0.235573458478082,-3.1093149701398e-06,0.167895173647836,134.666666666667,133.888888888889,1,0.803518951011674,1.77777777777778,1.34207758844153,0.925035919014947,0.0883627997194431,55.5021551408968
dp,0.317647200192706,0.0916031472818506,2.16661595048912e-05,0.0523418390137652,23.0434372436058,22.9207572106837,0.866025403784439,0.789896476252215,2.77388616284887,1.97480698163867,0.159118283325059,0.0783055170225849,9.54709699950356
